,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,Near Street,Location,May involve cyclist,May Involve Pedestrian,Manner of Collision,First Harmful Event Location,First Harmful Event,Ambient Light,Weather Condition 1,Weather Condition 2,Traffic Control Device Type,Traffic Control Device Functionality,Road Surface Condition,Roadway Junction Type,Trafficway Description,School Bus Related,Work Zone,Speed Limit,Street or Intersection,Intersection Name 1,Intersection Direction 1,Intersection Name 2,Intersection Direction 2,Intersection Name 3,Intersection Direction 3,Street Direction,Nearest Intersection Distance,Nearest Intersection Direction,Landmark Distance,Landmark Direction,Landmark,Mile Marker Direction,Non Public Area,Road Contributing,Damaged Property Type,Description of Damaged Property,V1 Registration Type,v1 State Code,V1 Configuration,V1 Emergency Response,V1 Moped,V1 Hit and Run,V1 Action Prior to Crash,V1 Model Year,V1 Most Harmful Event,V1 Model,V1 Make,V1 Occupant Count,V1 Underride Override,V1 First Event,V1 Second Event,V1 Third Event,V1 Fourth Event,V1 Most Damaged Area,V1 Second Damaged Area,V1 Third Damaged Area,V1 Towed,V1 Travel Direction,V1 Interstate,V1 Cargo Body Type,V1 Gross Weight,V1 Haz Placard,V1 Haz Release,V1 Trailer Reg Type,V1 Trailer Reg Plate,V1 Trailer Reg State,V1 Trailer Reg Year,V1 Trailer Len,V1 Driver Contribution,V1 Driver Contribution 2,V1 Is Truck,V1 Has Trailer,V1 Is Bus,V1 Is Hazmat,V1 Reg Year,V1 Driver Distracted,V1 Bus Use,V1 Tow Use,V2 Registration Type,V2 State Code,V2 Configuration,V2 Emergency Response,V2 Moped,V2 Hit and Run,V2 Action Prior to Crash,V2 Model Year,V2 Most Harmful Event,V2 Model,V2 Make,V2 Occupant Count,V2 Underride Override,V2 First Event,V2 Second Event,V2 Third Event,V2 Fourth Event,V2 Most Damaged Area,V2 Second Damaged Area,V2 Third Damaged Area,V2 Towed,V2 Travel Direction,V2 Interstate,V2 Cargo Body Type,V2 Gross Weight,V2 Haz Placard,V2 Haz Release,V2 Trailer Reg Type,V2 Trailer Reg Plate,V2 Trailer Reg State,V2 Trailer Reg Year,V2 Trailer Len,V2 Driver Contribution,V2 Driver Contribution 2,V2 Is Truck,V2 Has Trailer,V2 Is Bus,V2 Is Hazmat,V2 Reg Year,V2 Driver Distracted,V2 Bus Use,V2 Tow Use,P1 Role,P1 Injury,P1 Drivers Lic State,P1 Drivers Lic Class 1,P1 Drivers Lic Class 2,P1 Drivers Lic Restrict,P1 Non Motorist Desc,P1 Non Motorist Action,P1 Non Motorist Location,P1 Safety Equipment,P1 Age,P1 Sex,P1 Seat Position,P1 Safety System,P1 Trapped,P1 Veh Owner,P2 Role,P2 Injury,P2 Drivers Lic State,P2 Drivers Lic Class 1,P2 Drivers Lic Class 2,P2 Drivers Lic Restrict,P2 Non Motorist Desc,P2 Non Motorist Action,P2 Non Motorist Location,P2 Safety Equipment,P2 Age,P2 Sex,P2 Seat Position,P2 Safety System,P2 Trapped,P2 Veh Owner
154,06/29/2017 04:35:00 PM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,DOUGLASS STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,EASTBOUND,DOUGLASS STREET,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2009.0,COLLISION WITH PEDALCYCLE,CIVIC,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT REAR,RIGHT SIDE,NONE,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,NONE USED,,MALE,,,,
157,07/10/2017 08:15:00 PM,Monday,PASSENGER CAR,,,MASSACHUSETTS AVE,PEARL STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADSIDE,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,STOP SIGNS,YES,DRY,T-INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,NORTHBOUND,PEARL STREET,EASTBOUND,,,,,,,,,,,OTHER,,,PAN,MA,PASSENGER CAR,N,,,OTHER,2015.0,COLLISION WITH OTHER MOVABLE OBJECT,CAMRY,TOYT,2.0,,COLLISION WITH OTHER MOVABLE OBJECT,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,OCCUPANT/PASSENGER,NO INJURY,ALABAMA,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,SECOND SEAT - RIGHT SIDE,UNKNOWN,NOT TRAPPED,
180,10/31/2017 07:55:00 PM,Tuesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVE,,WINDSOR STREET,,1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DUSK,CLEAR,,STOP SIGNS,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,WESTBOUND,,,,,,NONE,OTHER,BUCYCLE.,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING LEFT,2010.0,COLLISION WITH PEDALCYCLE,GRD. CHEROKEE,JEEP,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,WESTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,,,,Y,NON-MOTORIST,NO INJURY,NEW JERSEY,"D, CLASS D VEHICLES",,OTHER,CYCLIST,,,UNKNOWN,,FEMALE,,,,
183,11/15/2017 01:27:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,GARDEN ST,MASSACHUSETTS AVE,,"GARDEN ST
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,CLOUDY,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,INTERSECTION,GARDEN ST,,MASSACHUSETTS AVE,,,,,,,,,,,,NONE,,,,,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,Y,TURNING RIGHT,,COLLISION WITH PEDALCYCLE,SUV,UNKNOWN,,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,SOUTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,"D, CLASS D VEHICLES",,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,FEMALE,,,,,,,,,,,,,,,,,,,,
234,10/25/2018 06:19:00 PM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVE,LEE STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADSIDE,COLLISION WITH PEDALCYCLE,DUSK,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,NORTHBOUND,LEE STREET,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2016.0,COLLISION WITH PEDALCYCLE,SONATA,HYUNDAI,1.0,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,EASTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,,,,,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",SHOULDER,UNKNOWN,,MALE,,,,
243,12/12/2018 12:12:00 PM,Wednesday,,,,MASS AVE,VASSAR ST,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,UNKNOWN,UNKNOWN,,TRAFFIC CONTROL SIGNAL,YES,UNKNOWN,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,0,INTERSECTION,MASS AVE,EASTBOUND,VASSAR ST,NORTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,,,,,,,,,,,,,,,,,
246,01/04/2019 06:26:00 PM,Friday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,MASSACHUSETTS AVE,,FOREST STREET,,1.0,,ANGLE,ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DUSK,CLOUDY,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,EASTBOUND,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING LEFT,2018.0,COLLISION WITH PEDALCYCLE,HIGHLANDER,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,EASTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,FEMALE,,,,,NON-MOTORIST,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,SKATER,"WALKING, RUNNING OR CYCLING",SHARED-USE PATH OR TRAILS,HELMET,,FEMALE,,,,
259,04/22/2019 09:08:00 PM,Monday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,BIGELOW STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,SINGLE VEHICLE CRASH,ROADWAY,COLLISION WITH PEDALCYCLE,DARK - LIGHTED ROADWAY,RAIN,,NO CONTROLS,YES,WET,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,20,INTERSECTION,MASSACHUSETTS AVENUE,EASTBOUND,BIGELOW STREET,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2012.0,COLLISION WITH PEDALCYCLE,FIESTA,FORD,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,CENTER FRONT,LEFT FRONT,N,EASTBOUND,,,,,,,,,,,INATTENTION,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,UNINVOLVED OWNER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,,,,Y
353,08/03/2021 01:05:00 PM,Tuesday,PASSENGER CAR,,624,MASSACHUSETTS AVE,,,"624 MASSACHUSETTS AVE
Cambridge, MA
(42.365281, -71.103512)",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,NO,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND,,,,,CVS,,,NONE,,,PAN,NY,PASSENGER CAR,N,,,TURNING LEFT,2014.0,COLLISION WITH PEDALCYCLE,328I,BMW,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,INATTENTION,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,NEW YORK,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,FEMALE,,,,Y
473,04/08/2015 06:48:00 PM,Wednesday,PASSENGER CAR,,,MASSACHUSETTS AVE,GLADSTONE ST,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,RAIN,CLOUDY,NO CONTROLS,,WET,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,,INTERSECTION,MASSACHUSETTS AVE,WESTBOUND,GLADSTONE ST,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2007.0,COLLISION WITH PEDALCYCLE,CIVIC,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,RIGHT SIDE,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,MALE,,,,
507,09/22/2016 07:21:00 PM,Thursday,PASSENGER CAR,,1563,MASS AVE,,,"1563 MASS AVE
Cambridge, MA
(42.378764, -71.120003)",1.0,,ANGLE,ROADSIDE,COLLISION WITH PARKED MOTOR VEHICLE,DUSK,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,30,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,NONE,,,LVN,MA,PASSENGER CAR,N,,,PARKED,2014.0,COLLISION WITH PEDALCYCLE,XTS,CADI,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,WESTBOUND,,,,,,,,,,,INATTENTION,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,,,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",NONE USED - VEHICLE OCCUPANT,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,,,,,Y
545,09/04/2015 04:32:00 PM,Friday,BUS SEATS 7 - 15 PEOPLE,,,CEDAR STREET,MASSACHUSETTS AVE,,"CEDAR STREET
Cambridge, MA",1.0,,SINGLE VEHICLE CRASH,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,,INTERSECTION,CEDAR STREET,SOUTHBOUND,MASSACHUSETTS AVE,EASTBOUND,,,,,,,,,,,NONE,OTHER,PERSONAL BICYCLE,PAN,MA,BUS SEATS 7 - 15 PEOPLE,N,,,TURNING RIGHT,2011.0,COLLISION WITH PEDALCYCLE,ECOVAN,FORD,1.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,SOUTHBOUND,,,,,,,,,,,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,34.0,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,,,,,,,,,,,,,,,Y
549,03/16/2015 05:57:00 PM,Monday,SINGLE UNIT TRUCK (3 0R MORE AXLES),,,MASSACHUSETTS AVE,RIVER STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,HEAD ON,ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,CLEAR,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,INTERSECTION,MASSACHUSETTS AVE,EASTBOUND,RIVER STREET,NORTHBOUND,,,,,,,,,,,NONE,,,TR,OH,SINGLE UNIT TRUCK (3 0R MORE AXLES),N,,,TURNING RIGHT,2015.0,COLLISION WITH PEDALCYCLE,,INTERNATIONAL,1.0,,COLLISION WITH PEDALCYCLE,,,,NONE,NONE,NONE,N,EASTBOUND,UNKNOWN,CARGO TANK,,,,,,,,,UNKNOWN,,Y,,,,2015.0,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,CONNECTICUT,"A, CLASS A VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,CYCLIST,HELMET,,FEMALE,,,,
594,04/13/2016 05:51:00 PM,Wednesday,PASSENGER CAR,,33,MASSACHUSETTS AVE,,,"33 MASSACHUSETTS AVE
Cambridge, MA
(42.358934, -71.093502)",1.0,,ANGLE,,,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2012.0,,VENZA,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,NORTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,,,,Y,NON-MOTORIST,,MASSACHUSETTS,,,,,,,,,FEMALE,,,,
676,06/19/2016 04:06:00 PM,Sunday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1201,MASSACHUSETTS AVENUE,,,"1201 MASSACHUSETTS AVENUE
Cambridge, MA
(42.371726, -71.114991)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,30,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,PARKED,2012.0,COLLISION WITH PEDALCYCLE,SIENNA,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,OTHER IMPROPER ACTION,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,NONE USED,,MALE,,,,
749,12/24/2015 11:07:00 AM,Thursday,PASSENGER CAR,,2166,MASSACHUSETTS AVE,,RINGE AVE,"2166 MASSACHUSETTS AVE
Cambridge, MA
(42.392326, -71.124619)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,"SLEET, HAIL, FREEZING RAIN OR DRIZZLE",CLOUDY,NO CONTROLS,,WET,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,,NON INTERSECTION,,,,,,,EASTBOUND,40FEET,EASTBOUND,,EASTBOUND,BANK OF AMERICA ATM,,,,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2010.0,COLLISION WITH PEDALCYCLE,VIBE,PONTIAC,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,LEFT FRONT,,N,EASTBOUND,,,,,,,,,,,VISIBILITY OBSTRUCTED,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,UNKNOWN,,FEMALE,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y
757,05/09/2015 02:50:00 PM,Saturday,PASSENGER CAR,,1137,MASS AVE,,REMINGTON ST,"1137 MASS AVE
Cambridge, MA
(42.371095, -71.114223)",1.0,,SINGLE VEHICLE CRASH,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2011.0,COLLISION WITH PEDALCYCLE,SONATA,HYUNDAI,2.0,,COLLISION WITH PEDALCYCLE,,,,,,,N,NORTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,,,,,,,MALE,,UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,NO INJURY,,,,,,,,,,FEMALE,,,,Y
818,10/13/2015 03:37:00 PM,Tuesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1414,MASSACHUSETTS AVE,,,"1414 MASSACHUSETTS AVE
Cambridge, MA
(42.3737, -71.119128)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,30,NON INTERSECTION,,,,,,,EASTBOUND,,,,,,,,,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,SLOWING OR STOPPED IN TRAFFIC,2004.0,COLLISION WITH PEDALCYCLE,SIENNA,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,EASTBOUND,,,,,,,,,,,INATTENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,,MASSACHUSETTS,,,,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,OCCUPANT/PASSENGER,,,,,,,,,,,FEMALE,,,,
824,06/03/2016 02:19:00 PM,Friday,PASSENGER CAR,,1001,MASSACHUSETTS AVE,,,"1001 MASSACHUSETTS AVE
Cambridge, MA
(42.369398, -71.11138)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADSIDE,COLLISION WITH PARKED MOTOR VEHICLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,30,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2001.0,COLLISION WITH PARKED MOTOR VEHICLE,S80,VOLVO,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,WESTBOUND,,,,,,,,,,,INATTENTION,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NO INJURY,CALIFORNIA,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",CYCLIST,HELMET,,FEMALE,,,,
